Col,Row,Inclusion,Excluded?,Included?,# Inclusions,Section number
0,0,-1,0,0,0,
0,1,-1,0,0,0,
0,2,-1,0,0,0,
0,3,-1,0,0,0,
0,4,-1,0,0,0,
0,5,-1,0,0,0,
0,6,-1,0,0,0,
0,7,-1,0,0,0,
0,8,-1,0,0,0,
0,9,-1,0,0,0,
0,10,-1,0,0,0,
0,11,-1,0,0,0,
0,12,-1,0,0,0,
0,13,-1,0,0,0,
0,14,-1,0,0,0,
0,15,-1,0,0,0,
0,16,-1,0,0,0,
0,17,-1,0,0,0,
0,18,-1,0,0,0,
0,19,-1,0,0,0,
0,20,-1,0,0,0,
0,21,-1,0,0,0,
0,22,-1,0,0,0,
0,23,-1,0,0,0,
0,24,-1,0,0,0,
0,25,-1,0,0,0,
0,26,-1,0,0,0,
0,27,-1,0,0,0,
0,28,-1,0,0,0,
0,29,-1,0,0,0,
0,30,-1,0,0,0,
0,31,-1,0,0,0,
0,32,-1,0,0,0,
0,33,-1,0,0,0,
0,34,-1,0,0,0,
0,35,-1,0,0,0,
0,36,-1,0,0,0,
0,37,-1,0,0,0,
0,38,-1,0,0,0,
0,39,-1,0,0,0,
0,40,-1,0,0,0,
0,41,-1,0,0,0,
0,42,-1,0,0,0,
0,43,-1,0,0,0,
0,44,-1,0,0,0,
0,45,-1,0,0,0,
0,46,-1,0,0,0,
0,47,-1,0,0,0,
0,48,-1,0,0,0,
0,49,-1,0,0,0,
0,50,-1,0,0,0,
0,51,-1,0,0,0,
0,52,-1,0,0,0,
0,53,-1,0,0,0,
0,54,-1,0,0,0,
0,55,-1,0,0,0,
0,56,-1,0,0,0,
0,57,-1,0,0,0,
0,58,-1,0,0,0,
0,59,-1,0,0,0,
0,60,-1,0,0,0,
0,61,-1,0,0,0,
0,62,-1,0,0,0,
0,63,-1,0,0,0,
0,64,-1,0,0,0,
0,65,-1,0,0,0,
0,66,-1,0,0,0,
0,67,-1,0,0,0,
0,68,-1,0,0,0,
0,69,-1,0,0,0,
0,70,-1,0,0,0,
0,71,-1,0,0,0,
0,72,-1,0,0,0,
0,73,-1,0,0,0,
0,74,-1,0,0,0,
0,75,-1,0,0,0,
0,76,-1,0,0,0,
0,77,-1,0,0,0,
0,78,-1,0,0,0,
0,79,-1,0,0,0,
0,80,-1,0,0,0,
0,81,-1,0,0,0,
0,82,-1,0,0,0,
0,83,-1,0,0,0,
0,84,-1,0,0,0,
0,85,-1,0,0,0,
0,86,-1,0,0,0,
0,87,-1,0,0,0,
0,88,-1,0,0,0,
0,89,-1,0,0,0,
0,90,-1,0,0,0,
0,91,-1,0,0,0,
0,92,-1,0,0,0,
0,93,-1,0,0,0,
0,94,-1,0,0,0,
0,95,-1,0,0,0,
0,96,-1,0,0,0,
0,97,-1,0,0,0,
0,98,-1,0,0,0,
0,99,-1,0,0,0,
0,100,-1,0,0,0,
0,101,-1,0,0,0,
0,102,-1,0,0,0,
0,103,-1,0,0,0,
0,104,-1,0,0,0,
0,105,-1,0,0,0,
0,106,-1,0,0,0,
0,107,-1,0,0,0,
0,108,-1,0,0,0,
0,109,-1,0,0,0,
0,110,-1,0,0,0,
0,111,-1,0,0,0,
0,112,-1,0,0,0,
0,113,-1,0,0,0,
0,114,-1,0,0,0,
0,115,-1,0,0,0,
0,116,-1,0,0,0,
0,117,-1,0,0,0,
0,118,-1,0,0,0,
0,119,-1,0,0,0,
0,120,-1,0,0,0,
0,121,-1,0,0,0,
0,122,-1,0,0,0,
0,123,-1,0,0,0,
0,124,-1,0,0,0,
0,125,-1,0,0,0,
0,126,-1,0,0,0,
0,127,-1,0,0,0,
0,128,-1,0,0,0,
0,129,-1,0,0,0,
0,130,-1,0,0,0,
0,131,-1,0,0,0,
0,132,-1,0,0,0,
0,133,-1,0,0,0,
0,134,-1,0,0,0,
0,135,-1,0,0,0,
0,136,-1,0,0,0,
0,137,-1,0,0,0,
0,138,-1,0,0,0,
0,139,-1,0,0,0,
0,140,-1,0,0,0,
0,141,-1,0,0,0,
0,142,-1,0,0,0,
0,143,-1,0,0,0,
0,144,-1,0,0,0,
0,145,-1,0,0,0,
0,146,-1,0,0,0,
0,147,-1,0,0,0,
0,148,-1,0,0,0,
0,149,-1,0,0,0,
0,150,-1,0,0,0,
0,151,-1,0,0,0,
1,0,-1,0,0,0,
1,1,-1,0,0,0,
1,2,-1,0,0,0,
1,3,-1,0,0,0,
1,4,-1,0,0,0,
1,5,-1,0,0,0,
1,6,-1,0,0,0,
1,7,-1,0,0,0,
1,8,-1,0,0,0,
1,9,-1,0,0,0,
1,10,-1,0,0,0,
1,11,-1,0,0,0,
1,12,-1,0,0,0,
1,13,-1,0,0,0,
1,14,-1,0,0,0,
1,15,-1,0,0,0,
1,16,-1,0,0,0,
1,17,-1,0,0,0,
1,18,-1,0,0,0,
1,19,-1,0,0,0,
1,20,-1,0,0,0,
1,21,-1,0,0,0,
1,22,-1,0,0,0,
1,23,-1,0,0,0,
1,24,-1,0,0,0,
1,25,-1,0,0,0,
1,26,-1,0,0,0,
1,27,-1,0,0,0,
1,28,-1,0,0,0,
1,29,-1,0,0,0,
1,30,-1,0,0,0,
1,31,-1,0,0,0,
1,32,-1,0,0,0,
1,33,-1,0,0,0,
1,34,-1,0,0,0,
1,35,-1,0,0,0,
1,36,-1,0,0,0,
1,37,-1,0,0,0,
1,38,-1,0,0,0,
1,39,-1,0,0,0,
1,40,-1,0,0,0,
1,41,-1,0,0,0,
1,42,-1,0,0,0,
1,43,-1,0,0,0,
1,44,-1,0,0,0,
1,45,-1,0,0,0,
1,46,-1,0,0,0,
1,47,-1,0,0,0,
1,48,-1,0,0,0,
1,49,-1,0,0,0,
1,50,-1,0,0,0,
1,51,-1,0,0,0,
1,52,-1,0,0,0,
1,53,-1,0,0,0,
1,54,-1,0,0,0,
1,55,-1,0,0,0,
1,56,-1,0,0,0,
1,57,-1,0,0,0,
1,58,-1,0,0,0,
1,59,-1,0,0,0,
1,60,-1,0,0,0,
1,61,-1,0,0,0,
1,62,-1,0,0,0,
1,63,-1,0,0,0,
1,64,-1,0,0,0,
1,65,-1,0,0,0,
1,66,-1,0,0,0,
1,67,-1,0,0,0,
1,68,-1,0,0,0,
1,69,-1,0,0,0,
1,70,-1,0,0,0,
1,71,-1,0,0,0,
1,72,-1,0,0,0,
1,73,-1,0,0,0,
1,74,-1,0,0,0,
1,75,-1,0,0,0,
1,76,-1,0,0,0,
1,77,-1,0,0,0,
1,78,-1,0,0,0,
1,79,-1,0,0,0,
1,80,-1,0,0,0,
1,81,-1,0,0,0,
1,82,-1,0,0,0,
1,83,-1,0,0,0,
1,84,-1,0,0,0,
1,85,-1,0,0,0,
1,86,-1,0,0,0,
1,87,-1,0,0,0,
1,88,-1,0,0,0,
1,89,-1,0,0,0,
1,90,-1,0,0,0,
1,91,-1,0,0,0,
1,92,-1,0,0,0,
1,93,-1,0,0,0,
1,94,-1,0,0,0,
1,95,-1,0,0,0,
1,96,-1,0,0,0,
1,97,-1,0,0,0,
1,98,-1,0,0,0,
1,99,-1,0,0,0,
1,100,-1,0,0,0,
1,101,-1,0,0,0,
1,102,-1,0,0,0,
